book,prop,gate,hr,n,hits,wilson_low,lift_vs_base,base_hr,train_hr,train_n,oos_hr,oos_n,ticket_clear,oos_ticket_clear
Goblin OVER,walks_allowed,L10>=9 + season_cush>=1,0.8448,232,196,0.7927,0.1058,0.739,0.7857,42,0.8579,190,True,True
Goblin OVER,walks_allowed,L10>=8 + opp_pitch_leaky + season_cush>=1,0.8592,142,122,0.7924,0.1202,0.739,0.8108,37,0.8762,105,True,True
Goblin OVER,hits_allowed,L5=5 + cover>=0.5,0.84,275,231,0.792,0.1442,0.6958,0.7042,71,0.8873,204,True,True
Goblin OVER,pitcher_ks,L10>=8 + season_cush>=2,0.8283,466,386,0.7914,0.1307,0.6976,0.7802,91,0.84,375,True,True
Goblin OVER,pitcher_ks,L10>=9 + season_cush>=1,0.828,471,390,0.7913,0.1304,0.6976,0.7684,95,0.8431,376,True,True
Goblin OVER,hits_allowed,L5>=4 + season_cush>=1,0.8207,736,604,0.7913,0.1249,0.6958,0.7487,195,0.8466,541,True,True
Goblin OVER,hits_allowed,L5=5 + season_cush>=1,0.836,311,260,0.7908,0.1402,0.6958,0.7108,83,0.8816,228,True,True
Goblin OVER,pitching_outs,L5>=4 + L10>=8 + own_pitch_leaky,0.85,180,153,0.7906,0.1477,0.7023,0.8611,36,0.8472,144,True,True
Goblin OVER,earned_runs,L10>=9 + opp_pitch_stingy,0.8438,224,189,0.7905,0.1336,0.7102,0.7755,49,0.8629,175,True,True
Goblin OVER,earned_runs,L10>=8,0.8148,1026,836,0.7899,0.1046,0.7102,0.786,229,0.8231,797,True,True
Goblin OVER,pitching_outs,L5>=4 + L10>=8,0.8295,393,326,0.7892,0.1272,0.7023,0.8214,84,0.8317,309,True,True
Goblin OVER,walks_allowed,L5>=4 + L10>=8,0.8281,413,342,0.7887,0.0891,0.739,0.8103,116,0.835,297,True,True
Goblin OVER,pitching_outs,L10>=9 + opp_pitch_stingy,0.8483,178,151,0.7883,0.146,0.7023,0.8235,34,0.8542,144,True,True
Goblin OVER,earned_runs,L5=5 + opp_pitch_leaky,0.8561,139,119,0.7882,0.1459,0.7102,0.7838,37,0.8824,102,True,True
