team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Racing Club,RACING,Argentina,10,9.0,0.9,,0,4,0,3,11,Above Avg
River Plate,RIVER,Argentina,10,9.0,0.9,,0,5,0,3,11,Above Avg
Rosario Central,ROSARIO,Argentina,10,7.0,0.7,,0,5,0,2,6,Elite
Banfield,BANFIELD,Argentina,10,13.0,1.3,,0,3,0,6,23,Weak
Tigre,TIGRE,Argentina,10,9.0,0.9,,0,4,0,1,11,Above Avg
Aldosivi,ALDOSIVI,Argentina,9,9.0,1.0,,0,0,0,4,17,Avg
Independiente Rivadavia,INDEPENDIENTE RIVADAVIA,Argentina,10,12.0,1.2,,0,6,0,2,22,Avg
Atlético Tucumán,ATLETICO TUCUMAN,Argentina,10,16.0,1.6,,0,1,0,6,29,Weak
Barracas Central,BARRACAS,Argentina,10,9.0,0.9,,0,4,0,3,11,Above Avg
Sarmiento (Junín),SARMIENTO,Argentina,10,11.0,1.1,,0,3,0,6,19,Avg
Estudiantes de Río Cuarto,ESTUDIANTES DE RÍO CUARTO,Argentina,10,15.0,1.5,,0,1,0,8,27,Weak
São Paulo,SAO PAULO,Brazil,6,3.0,0.5,,0,5,0,0,1,Elite
Palmeiras,PALMEIRAS,Brazil,6,7.0,1.167,,0,4,0,1,8,Above Avg
Fluminense,FLUMINENSE,Brazil,6,6.0,1.0,,0,4,0,1,4,Elite
Bahia,BAHIA,Brazil,5,3.0,0.6,,0,3,0,0,2,Elite
Flamengo,FLAMENGO,Brazil,5,4.0,0.8,,0,3,0,1,3,Elite
Coritiba,CORITIBA,Brazil,6,6.0,1.0,,0,3,0,2,4,Elite
Grêmio,GREMIO,Brazil,6,10.0,1.667,,0,2,0,2,13,Avg
Corinthians,CORINTHIANS,Brazil,6,6.0,1.0,,0,2,0,2,4,Elite
Red Bull Bragantino,RED BULL BRAGANTINO,Brazil,6,6.0,1.0,,0,2,0,2,4,Elite
Athletico Paranaense,ATHLETICO PARANAENSE,Brazil,5,6.0,1.2,,0,2,0,2,9,Above Avg
Vitória,VITÓRIA,Brazil,5,8.0,1.6,,0,2,0,2,11,Avg
Chapecoense,CHAPECOENSE,Brazil,5,9.0,1.8,,0,1,0,1,16,Weak
Mirassol,MIRASSOL,Brazil,5,8.0,1.6,,0,1,0,1,11,Avg
Santos,SANTOS,Brazil,6,11.0,1.833,,0,1,0,2,17,Weak
