player,player_norm,gsis_id,pfr_player_id,team,position,season,as_of_week,games,snap_pct_L3,snap_pct_season,wopr_L3,wopr_season,target_share_L3,target_share_season,air_yards_share_L3,route_pct_L3,route_pct_season,route_pct_source,targets_L3,receptions_L3
J.K. Dobbins,jk dobbins,00-0036158,DobbJK00,DEN,RB,2026,1,1,43.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,snap_proxy,0,0
Jonah Coleman,jonah coleman,00-0041496,ColeJo00,DEN,RB,2026,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,snap_proxy,0,0
Marvin Mims,marvin mims,00-0038976,MimsMa00,DEN,WR,2026,1,1,18.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,snap_proxy,0,0
Nate Adkins,nate adkins,00-0038783,AdkiNa00,DEN,TE,2026,1,1,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,snap_proxy,0,0
Adam Prentice,adam prentice,nan,PrenAd00,DEN,FB,2026,1,1,12.0,12.0,,,,,,12.0,12.0,snap_proxy,0,0
Jameson Williams,jameson williams,00-0037240,WillJa11,DET,WR,2026,1,1,84.0,84.0,0.7756,0.7756,0.2308,0.2308,0.6135,84.0,84.0,snap_proxy,9,4
Amon-Ra St. Brown,amon ra st brown,00-0036963,StxxAm00,DET,WR,2026,1,1,90.0,90.0,0.7752,0.7752,0.359,0.359,0.3382,90.0,90.0,snap_proxy,14,10
Sam LaPorta,sam laporta,00-0039065,LaPoSa01,DET,TE,2026,1,1,81.0,81.0,0.3314,0.3314,0.2051,0.2051,0.0338,81.0,81.0,snap_proxy,8,5
Jahmyr Gibbs,jahmyr gibbs,00-0039139,GibbJa01,DET,RB,2026,1,1,74.0,74.0,0.1788,0.1788,0.1282,0.1282,-0.0193,74.0,74.0,snap_proxy,5,5
Isaac TeSlaa,isaac teslaa,00-0040669,TeSlIs00,DET,WR,2026,1,1,68.0,68.0,0.0486,0.0486,0.0256,0.0256,0.0145,68.0,68.0,snap_proxy,1,0
